Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-01-10,4011.06,4032.7,3553.9,3633.24,199.56362623,749280.47316138,3754.5943983691
2019-01-09,3985.0,4038.3,3957.1,3999.05,49.76273059,198761.4614707,3994.183179141
2019-01-08,3991.09,4101.6,3958.7,4000.4,46.87370197,188432.66653847,4020.008205434
2019-01-07,4052.13,4057.02,3925.3,3990.0,156.98981808,624480.27748956,3977.8393600745
2019-01-06,3800.77,4075.23,3766.9,4052.09,116.32199934,458574.12896271,3942.2820409262
2019-01-05,3838.19,3865.4,3789.39,3800.76,33.59387349,128671.30538346,3830.2015223628
2019-01-04,3783.03,3851.51,3732.8,3837.3,9.85123884,37324.244719979,3788.7869055034
2019-01-03,3883.9,3893.69,3722.41,3795.9,87.53461261,333361.13422573,3808.3350606803
2019-01-02,3827.85,3955.8,3778.1,3909.19,56.10229857,217102.86156193,3869.7676761149
2019-01-01,3706.2,3825.8,3665.95,3819.8,54.4287354,203577.88436352,3740.2648227525
2018-12-31,3838.9,3838.9,3625.5,3699.12,163.67361976,605488.01347868,3699.3622696592
2018-12-30,3754.9,3856.47,3715.2,3829.3,54.01096828,205064.01679222,3796.7106186495
2018-12-29,3890.1,3933.4,3729.9,3752.1,104.39835141,403319.4742847,3863.2743605381
2018-12-28,3601.0,3926.0,3589.7,3880.5,81.17644288,305159.6580765,3759.2144623485
2018-12-27,3814.4,3838.4,3581.1,3598.79,92.8790072,342463.91422398,3687.2047252458
2018-12-26,3787.3,3872.8,3702.1,3811.89,50.86685014,193161.08218771,3797.3863460402
2018-12-25,4031.69,4031.69,3687.94,3775.49,132.1746266,502532.92247103,3802.0377692599
2018-12-24,3962.13,4228.6,3962.13,4052.8,149.38795511,613560.94620822,4107.1647694516
2018-12-23,3982.79,4051.2,3920.4,3950.28,75.35048652,299988.84853625,3981.2463381591
2018-12-22,3861.4,4015.94,3800.46,3986.5,86.97720172,340421.85926085,3913.92057377
2018-12-21,4072.86,4150.0,3788.1,3856.8,144.73984451,578410.47797809,3996.2076782397
2018-12-20,3673.13,4168.2,3673.13,4081.1,248.15268696,986057.26615234,3973.5909299716
