Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Kenya,KEN,..,..,..,..,..,..,10.7,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4,SG.VAW.REFU.Q4.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
